EURJPY_time,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume
12.10.2012 00:00:00.000,101.412,101.922,101.251,101.628,134674.9375
13.10.2012 00:00:00.000,101.628,101.628,101.628,101.628,0
14.10.2012 00:00:00.000,101.599,101.696,101.481,101.516,12590.3799
15.10.2012 00:00:00.000,101.516,102.296,101.044,102.184,140504.7031
16.10.2012 00:00:00.000,102.184,103.529,102.062,103.360,168261.1875
17.10.2012 00:00:00.000,103.360,103.754,102.923,103.678,169587.1875
18.10.2012 00:00:00.000,103.678,104.152,103.307,103.670,171595.25
19.10.2012 00:00:00.000,103.671,103.811,103.148,103.308,132192.2813
20.10.2012 00:00:00.000,103.308,103.308,103.308,103.308,0
21.10.2012 00:00:00.000,103.176,103.332,103.135,103.222,15305.1299
22.10.2012 00:00:00.000,103.222,104.602,103.154,104.558,153987.875
23.10.2012 00:00:00.000,104.557,104.557,103.292,103.570,166131.4844
24.10.2012 00:00:00.000,103.567,103.835,102.998,103.535,162419
25.10.2012 00:00:00.000,103.535,104.432,103.524,103.809,176412.6719
26.10.2012 00:00:00.000,103.808,103.939,102.694,103.030,178496.2344
27.10.2012 00:00:00.000,103.030,103.030,103.030,103.030,0
28.10.2012 00:00:00.000,103.038,103.248,102.906,102.933,17629.5605
29.10.2012 00:00:00.000,102.933,103.168,102.534,102.974,109992.6797
30.10.2012 00:00:00.000,102.974,103.421,102.186,103.285,140454.2969
31.10.2012 00:00:00.000,103.283,103.949,103.084,103.547,150826.0625
01.11.2012 00:00:00.000,103.547,104.003,103.343,103.868,146733.5625
02.11.2012 00:00:00.000,103.867,103.867,103.063,103.317,157918.0313
03.11.2012 00:00:00.000,103.317,103.317,103.317,103.317,0
04.11.2012 00:00:00.000,102.930,103.325,102.880,103.250,29500.7305
05.11.2012 00:00:00.000,103.250,103.350,102.454,102.617,143091.6875
06.11.2012 00:00:00.000,102.618,103.161,102.192,102.823,150895.7813
07.11.2012 00:00:00.000,102.823,103.425,101.810,102.040,226241.7031
08.11.2012 00:00:00.000,102.036,102.146,101.032,101.292,187543.375
09.11.2012 00:00:00.000,101.292,101.756,100.434,101.103,198740.9688
10.11.2012 00:00:00.000,101.103,101.103,101.103,101.103,0
11.11.2012 00:00:00.000,100.980,101.233,100.897,101.094,13569.8398
12.11.2012 00:00:00.000,101.090,101.302,100.882,101.161,111866.5391
13.11.2012 00:00:00.000,101.161,101.256,100.335,101.004,172828.3438
14.11.2012 00:00:00.000,101.004,102.411,100.890,102.099,183986.875
15.11.2012 00:00:00.000,102.100,103.994,102.015,103.698,192392.0938
16.11.2012 00:00:00.000,103.698,103.902,103.053,103.598,173401.25
17.11.2012 00:00:00.000,103.598,103.598,103.598,103.598,0
18.11.2012 00:00:00.000,103.502,104.075,103.442,104.066,31169.7109
19.11.2012 00:00:00.000,104.070,104.340,103.526,103.889,162666.7656
20.11.2012 00:00:00.000,103.889,104.791,103.681,104.735,170157.9375
21.11.2012 00:00:00.000,104.735,106.273,104.109,106.235,180728.2344
22.11.2012 00:00:00.000,106.232,106.587,105.726,106.050,143830.9375
23.11.2012 00:00:00.000,106.050,106.986,105.728,106.980,134278.8594
24.11.2012 00:00:00.000,106.980,106.980,106.980,106.980,0
25.11.2012 00:00:00.000,106.858,107.117,106.667,107.117,24432.7207
26.11.2012 00:00:00.000,107.117,107.144,106.097,106.356,151474.8438
27.11.2012 00:00:00.000,106.357,106.972,106.127,106.214,166662.9531
28.11.2012 00:00:00.000,106.214,106.473,105.288,106.411,177265.0156
29.11.2012 00:00:00.000,106.410,106.821,106.163,106.567,156730.9375
30.11.2012 00:00:00.000,106.567,107.681,106.449,107.141,183029.4844
01.12.2012 00:00:00.000,107.141,107.141,107.141,107.141,0
02.12.2012 00:00:00.000,106.905,107.237,106.748,107.192,23676.7109
03.12.2012 00:00:00.000,107.192,107.593,106.864,107.330,152246.6875
04.12.2012 00:00:00.000,107.330,107.407,106.939,107.210,148081.8594
05.12.2012 00:00:00.000,107.211,107.969,107.146,107.775,165916.5938
06.12.2012 00:00:00.000,107.777,107.900,106.614,106.877,162450.7031
07.12.2012 00:00:00.000,106.876,107.090,106.135,106.686,145940.2188
08.12.2012 00:00:00.000,106.686,106.686,106.686,106.686,0
09.12.2012 00:00:00.000,106.281,106.641,106.226,106.572,23709.2402
10.12.2012 00:00:00.000,106.574,106.655,105.983,106.565,124222.4531
11.12.2012 00:00:00.000,106.565,107.462,106.486,107.391,130734.4219
12.12.2012 00:00:00.000,107.393,109.046,107.273,108.744,152460.5938
13.12.2012 00:00:00.000,108.745,109.546,108.650,109.429,172598.1406
14.12.2012 00:00:00.000,109.429,109.988,109.057,109.938,168865.9844
15.12.2012 00:00:00.000,109.938,109.938,109.938,109.938,0
16.12.2012 00:00:00.000,109.898,111.228,109.897,110.804,17647.5195
17.12.2012 00:00:00.000,110.806,110.813,109.940,110.462,153422.7813
18.12.2012 00:00:00.000,110.461,111.631,110.383,111.603,153770.6875
19.12.2012 00:00:00.000,111.602,112.505,110.823,111.311,187842.5625
20.12.2012 00:00:00.000,111.311,112.159,110.739,111.766,183186.0313
21.12.2012 00:00:00.000,111.769,111.787,110.635,111.120,186909.5156
22.12.2012 00:00:00.000,111.120,111.120,111.120,111.120,0
23.12.2012 00:00:00.000,111.039,111.369,110.932,111.278,18149.7402
24.12.2012 00:00:00.000,111.278,112.022,111.133,111.843,105517.4766
25.12.2012 00:00:00.000,111.846,112.100,111.575,112.075,105351.2734
26.12.2012 00:00:00.000,112.075,113.399,112.072,113.381,148802.7344
27.12.2012 00:00:00.000,113.381,114.710,113.315,114.609,162687.75
28.12.2012 00:00:00.000,114.610,114.685,113.309,113.514,172601.0156
29.12.2012 00:00:00.000,113.514,113.514,113.514,113.514,0
30.12.2012 00:00:00.000,113.571,113.779,113.189,113.726,30181.2109
31.12.2012 00:00:00.000,113.726,114.560,113.459,114.506,136525.5781
