Gmt time,Open,High,Low,Close,Volume
02.11.2005 00:00:00.000,250.580,250.760,249.800,249.780,3946.8459
03.11.2005 00:00:00.000,249.830,249.910,248.040,248.250,2917.2339
04.11.2005 00:00:00.000,248.240,249.490,248.240,249.370,4290.0498
05.11.2005 00:00:00.000,249.370,249.370,249.370,249.370,0
06.11.2005 00:00:00.000,249.370,249.370,249.370,249.370,0
07.11.2005 00:00:00.000,248.250,249.770,248.250,248.910,2230.8259
08.11.2005 00:00:00.000,249.180,249.600,248.740,248.170,2960.1345
09.11.2005 00:00:00.000,248.090,250.690,248.090,250.340,2445.3286
10.11.2005 00:00:00.000,249.900,251.460,249.900,251.090,4247.1494
11.11.2005 00:00:00.000,251.320,251.660,250.870,251.010,2874.3335
12.11.2005 00:00:00.000,251.010,251.010,251.010,251.010,0
13.11.2005 00:00:00.000,251.010,251.010,251.010,251.010,0
14.11.2005 00:00:00.000,250.550,251.390,249.850,249.610,5148.0601
15.11.2005 00:00:00.000,249.660,250.630,249.660,250.170,4547.4531
16.11.2005 00:00:00.000,250.360,251.210,250.050,251.110,4332.9507
17.11.2005 00:00:00.000,251.210,252.540,250.830,251.940,3689.4431
18.11.2005 00:00:00.000,251.970,253.520,251.970,253.170,4032.647
19.11.2005 00:00:00.000,253.170,253.170,253.170,253.170,0
20.11.2005 00:00:00.000,253.170,253.170,253.170,253.170,0
21.11.2005 00:00:00.000,252.730,254.020,252.730,253.670,3689.4431
22.11.2005 00:00:00.000,253.530,254.410,253.520,253.600,3303.3384
23.11.2005 00:00:00.000,253.740,253.780,252.180,251.880,4761.9556
24.11.2005 00:00:00.000,252.080,252.240,251.250,251.210,1716.02
25.11.2005 00:00:00.000,251.410,252.710,250.930,251.630,3818.1445
26.11.2005 00:00:00.000,251.630,251.630,251.630,251.630,0
27.11.2005 00:00:00.000,251.630,251.630,251.630,251.630,0
28.11.2005 00:00:00.000,251.230,251.740,250.490,251.010,4676.1543
29.11.2005 00:00:00.000,251.310,251.980,250.600,251.980,3517.8411
30.11.2005 00:00:00.000,252.180,253.570,252.180,253.180,4247.1494
01.12.2005 00:00:00.000,253.200,253.810,252.320,252.100,2359.5276
02.12.2005 00:00:00.000,252.060,252.770,251.630,251.590,2788.5325
03.12.2005 00:00:00.000,251.590,251.590,251.590,251.590,0
04.12.2005 00:00:00.000,251.590,251.590,251.590,251.590,0
05.12.2005 00:00:00.000,251.130,252.190,251.130,251.830,5448.3633
06.12.2005 00:00:00.000,252.000,254.060,250.920,253.510,3131.7366
07.12.2005 00:00:00.000,253.610,253.970,253.350,253.690,4204.249
08.12.2005 00:00:00.000,253.630,256.180,253.570,255.560,3903.9456
09.12.2005 00:00:00.000,255.660,256.020,255.590,255.700,1801.821
10.12.2005 00:00:00.000,255.700,255.700,255.700,255.700,0
11.12.2005 00:00:00.000,255.700,255.700,255.700,255.700,0
12.12.2005 00:00:00.000,255.470,256.040,253.400,253.400,3903.9456
13.12.2005 00:00:00.000,253.390,253.470,251.930,252.280,4890.6572
14.12.2005 00:00:00.000,251.680,252.830,251.680,252.000,2616.9304
15.12.2005 00:00:00.000,252.130,253.130,252.130,252.860,1458.6169
16.12.2005 00:00:00.000,252.710,253.610,252.150,252.320,5062.2588
17.12.2005 00:00:00.000,252.320,252.320,252.320,252.320,0
18.12.2005 00:00:00.000,252.320,252.320,252.320,252.320,0
19.12.2005 00:00:00.000,251.680,253.200,251.680,251.620,2187.9255
20.12.2005 00:00:00.000,251.770,252.170,250.790,250.540,5491.2642
21.12.2005 00:00:00.000,250.690,251.270,250.690,250.670,3432.04
22.12.2005 00:00:00.000,250.600,251.600,250.600,251.010,3903.9456
23.12.2005 00:00:00.000,250.810,251.600,250.810,251.100,2016.3235
24.12.2005 00:00:00.000,251.100,251.100,251.100,251.100,0
25.12.2005 00:00:00.000,251.100,251.100,251.100,251.100,0
26.12.2005 00:00:00.000,250.800,251.100,250.800,251.100,3818.1445
27.12.2005 00:00:00.000,251.100,251.920,250.520,250.960,5105.1597
28.12.2005 00:00:00.000,250.990,252.130,250.990,252.000,3389.1394
29.12.2005 00:00:00.000,251.650,252.760,251.650,252.520,1973.423
30.12.2005 00:00:00.000,252.570,252.790,252.380,252.690,3389.1394
31.12.2005 00:00:00.000,252.690,252.690,252.690,252.690,0
01.01.2006 00:00:00.000,252.690,252.690,252.690,252.690,0
02.01.2006 00:00:00.000,251.760,252.860,251.760,252.490,1458.6169
03.01.2006 00:00:00.000,252.480,252.760,251.550,251.760,4804.856
04.01.2006 00:00:00.000,251.710,251.710,250.280,250.180,3217.5376
05.01.2006 00:00:00.000,250.370,250.730,249.900,250.460,4633.2539
06.01.2006 00:00:00.000,250.490,251.130,250.400,250.380,3174.637
07.01.2006 00:00:00.000,250.380,250.380,250.380,250.380,0
08.01.2006 00:00:00.000,250.380,250.380,250.380,250.380,0
09.01.2006 00:00:00.000,250.110,250.380,249.720,249.600,1887.6219
10.01.2006 00:00:00.000,249.530,251.100,249.530,250.590,2402.428
11.01.2006 00:00:00.000,250.350,250.920,249.770,249.780,2616.9304
